,playAgain,studyPurpose,howMany,concerns,howHonest,yourGoal,goodDetection,understoodTask,othersGoal,uuid
0,0,It was seeing how we trust each other.,10,"No, just wondering if I was doing it right.",3,To earn more points.,4,4,To earn points mainly.,55b424e1fdf99b526efcf8d0
1,1,not really sure,3,no concerns at all,3,to earn as much points as I could for myself,5,6,probably to earn as much as they could for themselves as well,56210effed6e5a000ac7f3a5
2,1,"I wonder if it had something to do with impulse control, assumptions, and projecting our feelings onto others, based on the likelihood of the outcome being fair. I felt myself wondering if they were honest almost every time they won!",1,"No, thanks!",2,"Strictly to win, by getting the most winning hands (blue cards)",1,6,Also to win by getting blue cards. ,57313ba2070de6000f43384e
3,1,I think there was an element of an aspergers study to it but also think that an honesty perception was part of it too.,6,"No, I didn't!",6,"just to be honest, I didn't think about point scoring",2,5,"I would hope the same as mine, but you never know!",583accd26ab9a70001e2b5a7
4,1,im not sure,2,no,2,to win each round,4,6,to beat me,59430640f154200001b509d0
5,1,to find out the percentage of people being honest,3,no,3,To try and gain points,2,6,To gain points and win,5a455b091950a80001e7c49a
6,0,Something psychological.,0,Yes it seemed I could only win by being dishonest. I'm not normally dishonest but as it was only a game I was in this case.,0,Winning the game.,0,5,I have no idea.,5ac7a7f1f69e940001d999a7
7,1,To gauge whether people's honesty is based on certain personality traits when financial gain is involved.,90,I wasn't sure whether I was required to be honest or not when reporting the cards.,2,To complete the study and see if being dishonest would make any difference to winning or losing points.,4,4,Perhaps similar to my own,5af196e1e1b5b8000148ac76
8,1,"to see if you would cheat, and to think if someone else was cheating, and if it would affect the results that you choose.",3,no,6,to be honest and do as the game tells you,3,6,I think they were trying to get the most points without winning every point,5afc4671bb36f900018ef1fe
9,1,To see how willing I am to be dishonest.  I'm 100% willing.  To see if I could gauge how honest or dishonest I thought the other players were.,5,No concerns.  No issues.  Everything was fine.,1,"Not necessarily to make the most, but to make my fair share.",4,6,I didn't really put that much thought into that aspect of it.  I'm not really that moved by why someone else is doing something.  They're doing it.  It doesn't matter why.,5b98d9362cca9c0001de161f
10,0,to see how honest people are,3,no,2,not to lose,2,5,not to lose,5c47408447aa7b000107b7d7
11,1,to see how truthful we can be when money is involved and how to interpret someone else ,3,no,6,be honest ,4,6,some honest and some just to win,5c6d6d3481e1d50001627409
12,1,test perception of honesty of others,60,some of the attention check questions i found unclear to know which way to count from but i was paying full attention,0,to win and gain more points,4,4,same as mine,5c7af38b670f87001746df79
13,1,Possibly to see if someone would truthfully answer and not manipulate the results to benefit them.,3,None at all.,2,To correctly choose the result the computer-generated and also try to win the game against other players.,4,0,It's possible that their goal is to win the game against other players too.,5cd5fe480f0de600018e7251
14,1,To measure concentration and see whether participants will try to beat the system if unmonitored (e.g. always select blue card to win),3,Was difficult to maintain concentration as very repetitive over a long period of time - I felt as though I lapsed a couple of times. ,6,To play honestly,3,4,To play honestly,5ce96c839faf7d0001daf0e6
15,1,Honesty and perceptions of others honesty,3,No,0,To win the game,0,5,Playing it as honestly as possible with some lapses when they wanted to win,5cfb74958f650700151c7df3
16,1,to see if i trusted the other player,4,no,6,to report the colour the computer selected,1,4,try and guess what i was picking,5d230886d7533000017a4409
17,1,TO SEE IF WE CHANGED OUT STRATEGY IF WE THOUGHT THE OTHER PERSON WAS BEING DISHONEST,1,NONE,5,TO PLAY FAIR,4,4,TO WIN THE GAME ,5d8a1081323cf30001205f53
18,0,I have no idea what the purpose of this study was.,15,"I don't understand why you would ever choose red. Picking red offers no benefits and only harms you, while picking blue offers points and a draw in the worst case scenario.

The instructions for this game as well as how this ""game"" had anything to do with honesty were entirely unclear to me.",6,"To complete the study while making a decent amount of bonus payment, since I was unable to understand the game.",3,0,I think most players share the goal of trying to make as much bonus money as possible.,5d99898ab82ce10398fc1556
19,0,I am not sure ,7,none,6,To focus and be accurate ,1,6,I do not know ,5da78f61a60c0d0017d6ed89
20,0,To test trust ,3,No,4,Be honest and problem solve ,3,6,Some were honest some just wanted to win,5e6d395882be80000cec9f92
21,0,To see if people lie to win money.,1,I wasn't sure if it was okay to lie or not!,4,To be as honest as possible without being taken advantage of.,6,6,To make as much money as possible without being seen as a liar.,5ea91fe115728f3d0f6b7d17
22,1,To study how the perception of 'honesty' changed depending on observable patterns of behavior in a card game where there was a benefit to being the only one to choose the 'right answer'. It's also to examine how this then relates back to the individuals' personality and their recent negative experiences of deception in real life.,3,N/A,1,"I began by playing the game mostly honestly, mainly trying to observe what the other player was intending on doing by seeing how often they picked blue. Eventually, I became flippant and mostly just selfishly picked blue since it was often hard to judge when the other player was going to be TRULY honest or not.",4,5,"Likely most players would attempt to be mostly honest, but occasionally lie in order to gain the upper hand while still maintaining some level of 'honesty' in their behavior.",5eb2e269f78ab109cca0bf0c
23,1,"dunno , no idea",2,no,1,trust in another person,3,6,"dunno, no idea",5ebaec011a7d64080694fe74
24,1,To find out how truthful people would be when it came to winning against somebody else in a random card game?,100,None,0,I chose the blue card everytime even when it was a red card. It did this because I tried to win the game overall. I noticed the odds of cards being blue to red and what the other play chose. ,5,3,"Maybe the same, to win, but maybe they didn't understand it very well as it was a little confusing at first but I think I understood it ok...",5ef7d6c359b38851de122110
